incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,address,incident_type,subcategory,severity,reportable,carer_id,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome,notification_time_frame
INC0015,P002,3080635547,1994-06-09,2025-06-03,13:23,2025-06-03,Healthcare Facility (Hospital/Clinic),"96699 Fleming Square Apt. 574, Blacktown, NSW 2148",Equipment Failure,Bed rail collapse,Medium,True,C8711,Mechanical hoist failed mid-transfer; staff safely lowered participant.,Safety of participant ensured.,Communication with equipment suppliers regarding issues.,Lack of staff training on specific equipment,Benjamin Schroeder,,,False,False,,,5 business days
INC0016,P023,5925470246,1976-11-12,2025-05-20,01:48,2025-05-20,Participant's residence - Bedroom,"78133 Miller Locks Suite 234, Liverpool, NSW 2170",Serious Injury,Head injury,High,True,C8626,"During a group outing, the participant slipped on wet pavement and injured their knee.",Emergency services contacted.,Formal report submitted to NDIS Commission.,Staff not following procedures,Tammy Martin,Concussion,High,False,False,,,24 hours
INC0017,P042,9430150748,1974-06-19,2024-09-23,17:32,2024-09-23,Participant's residence - Activity room,"64840 Jordan Skyway Suite 006, Chatswood, NSW 2067",Service Complaint,Inaccessible services,Low,False,C3205,Participant felt their concerns were not being listened to.,Participant offered restorative discussion.,Quality improvement log updated.,Inadequate training on specific care needs,Dennis Brock,,,False,False,,,7 days
INC0018,P046,4812789264,2001-08-24,2025-02-17,11:19,2025-02-17,Supported Independent Living (SIL) Home,"957 Jason Ports Suite 408, Wollongong, NSW 2500",Verbal Abuse / Argument,Hostile disagreements,Low,False,C8429,Participant shouted and threatened another due to a cancelled outing.,Staff involved supported and debriefed.,Review of triggers and antecedents to the behaviour.,Miscommunication about schedule,Nancy George,,,False,False,,,7 days
INC0019,P045,6249939032,1982-03-06,2024-10-09,06:45,2024-10-09,Participant's residence - Activity room,"37008 Hawkins Fields Apt. 608, Bondi, NSW 2026",Verbal Abuse / Argument,Hostile disagreements,Low,False,C8613,Participant directed hostile language towards another resident.,Internal incident report commenced.,Support provided to the participant to develop communication skills.,Underlying behavioural issues,Danny Jones,,,False,False,,,7 days
INC0020,P071,6777339499,1989-09-19,2025-04-03,12:46,2025-04-03,Participant's residence - Dining area,"57551 Diaz Brook, Penrith, NSW 2750",Death,Unexpected,Critical,True,C7793,Participant was found unresponsive during the morning wellness check. Emergency services were contacted immediately.,Police contacted as per protocol for unexplained death.,Support network of participant informed as appropriate.,Underlying health condition,Stephanie Lucas,Internal bleeding,Critical,False,False,,,24 hours
INC0021,P056,3190706864,1971-03-02,2025-08-03,15:09,2025-08-03,Participant's residence - Activity room,"50364 Joel Circles, Wollongong, NSW 2500",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C3108,Staff found participant in a potentially dangerous situation with intent to self-harm.,Support provided to the participant.,Increased monitoring and supervision plan implemented.,Lack of 1:1 supervision as per care plan,Michelle Hicks,Severe head injury,Critical,True,False,,,24 hours
INC0022,P008,4908285236,1967-07-16,2024-10-05,09:39,2024-10-06,Office/Administrative Area,"381 Lisa Rapids Suite 495, Newcastle, NSW 2300",Death,Hospital-related,Critical,True,C5889,Participant passed away unexpectedly at home during the night.,Coroner's office notified.,Internal review of incident circumstances completed.,Palliative stage of care,Nathan Silva,,,False,False,,,24 hours
INC0023,P005,3061624012,2006-11-16,2025-07-10,17:13,2025-07-15,Participant's residence - Staff office,"357 Swanson Well Apt. 780, Parramatta, NSW 2150",Self-Harm / Suicide,Threats to self,Critical,True,C3103,Participant attempted to harm themselves using a sharp object.,Safety of participant ensured.,Staff training on recognising warning signs of self-harm and suicide risk.,Stress or anxiety,Lauren Knapp,,,False,False,,,24 hours
INC0024,P058,1227552147,1982-06-26,2025-01-26,16:50,2025-01-26,Office/Administrative Area,"644 Hutchinson Via, Newcastle, NSW 2300",Environmental Hazard,Unsafe chemicals,Medium,True,C5045,Chemical spill occurred in the cleaning supply room.,Evacuation procedures followed if necessary.,Quality improvement process initiated for facility maintenance.,Staff not following safety protocols,Gregory Nguyen,,,False,False,,,5 business days
INC0025,P037,8894524951,1974-05-16,2024-12-02,10:43,2024-12-02,Participant's residence - Communal area,"71742 Campbell Summit, Chatswood, NSW 2067",Infectious Disease Exposure,COVID-19,High,True,C9388,Participant tested positive for COVID after symptoms began.,Contact tracing initiated.,Review of isolation protocols and procedures.,Participant difficulty understanding hygiene practices,Alan Stokes,Deep wounds,High,False,False,,,24 hours
INC0026,P063,8858847610,1977-02-03,2025-01-02,18:40,2025-01-03,Participant's residence - Staff office,"10699 Judith Throughway, Bondi, NSW 2026",Environmental Hazard,Electrical hazard,Medium,True,C4734,Sharp object found on the floor in a common area.,Maintenance team dispatched.,Repairs completed and safety measures implemented.,Fire drill procedures unclear,Justin Herring,Lacerations,Medium,True,False,,,5 business days
INC0027,P051,8350878635,1976-05-30,2025-07-22,07:20,2025-07-22,Participant's residence - Communal area,"759 Alexander Heights, Campbelltown, NSW 2560",Death,Palliative cases,Critical,True,C2482,Participant died overnight in their sleep as part of their palliative care plan.,Support offered to other participants who were aware.,Policies and procedures regarding death in service reviewed.,Communication breakdown during handover,Ashley White,,,False,False,,,24 hours
INC0028,P078,9274684686,1987-12-14,2024-12-05,02:38,2024-12-05,Healthcare Facility (Hospital/Clinic),"765 Patton Tunnel, Liverpool, NSW 2170",Medical Incident (Non-Injury),Seizure,Medium,True,C3884,Allergic reaction observed after snack intake.,Medical professional consulted.,Medication management plan reviewed.,Communication breakdown with medical team,Tamara Ramirez,,,False,False,,,5 business days
INC0029,P075,2019210712,1976-01-19,2024-12-23,17:43,2024-12-23,Therapy Room,"30850 Austin Forks Apt. 151, Liverpool, NSW 2170",Behavioural Incident,Disruption,Medium,True,C6147,Verbal intimidation directed at staff.,Internal incident report completed.,Review of triggers and antecedents to the behaviour.,Disruption in routine,Kevin Davis,Minor burns,Medium,False,False,,,5 business days
INC0030,P068,6508842419,1997-08-05,2025-02-02,11:33,2025-02-03,Day Program Center,"2089 Morris Bridge, Liverpool, NSW 2170",Financial Misconduct / Error,Misuse of funds,Medium,True,C5780,Unexplained withdrawals from participant's bank account.,Risk assessment completed.,Formal report submitted to the NDIS Commission.,Authorisation process bypassed,Anthony Hunter,,,False,False,,,5 business days
INC0031,P083,7057250858,2000-09-04,2025-02-08,14:08,2025-02-09,Participant's residence - Staff office,"3051 Jessica Squares Apt. 582, Bondi, NSW 2026",Serious Injury,Fractures,High,True,C6975,"During a group outing, the participant slipped on wet pavement and injured their knee.","Participant supported to a safe sitting position, ice pack applied, and guardian notified.",Communication with participant and family about the injury and recovery.,Wet floor not clearly marked,Jessica Boyer,Severe head injury,High,False,False,,,24 hours
INC0032,P008,4908285236,1967-07-16,2025-08-13,21:25,2025-08-14,Office/Administrative Area,"397 Gabriella Lake Apt. 414, Campbelltown, NSW 2560",Behavioural Incident,Disruption,Medium,True,C2247,Participant caused significant disruption to a planned outing.,Calming techniques and protective gear applied.,Formal report to NDIS Commission if reportable.,Escalation warning signs missed,Brian Smith,,,False,False,,,5 business days
INC0033,P055,9185773976,2004-02-26,2025-08-14,06:17,2025-08-14,Supported Independent Living (SIL) Home,"8931 Brock Ports, Bondi, NSW 2026",Restrictive Practices (Unauthorised),Seclusion,High,True,C2037,Participant was secluded in a separate room as punishment.,Family/guardian notified.,Relevant staff removed from duties and retraining scheduled.,Staff resorting to restrictive practices due to frustration,Justin Padilla,Multiple fractures,High,True,False,,,24 hours
INC0034,P013,2147465649,1994-03-21,2025-06-17,00:24,2025-06-18,Healthcare Facility (Hospital/Clinic),"75692 Robert Gateway, Penrith, NSW 2750",Sexual Misconduct,Exhibitionism,High,True,C2040,Staff found inappropriate materials left in communal area.,NDIS Commission notified as per mandatory reporting.,Environmental changes to enhance privacy.,Participant vulnerability exploited,Jeffrey Pena,Fractures,High,True,True,Specialist Referral,Ongoing treatment,24 hours
INC0035,P052,8255878935,1979-12-05,2025-08-12,06:26,2025-08-13,Participant's residence - Dining area,"098 Ashley Alley Apt. 717, Bondi, NSW 2026",Near Miss,Medication nearly administered incorrectly,Low,False,C9785,Equipment was found to be faulty before use.,Policies and procedures related to the near miss reviewed.,Environmental changes made to reduce identified risks.,Lack of clear protocols,Richard Clark,,,False,False,,,7 days
INC0036,P031,6869994139,1998-12-01,2025-08-07,04:01,2025-08-07,Participant's residence - Outdoor area,"81858 Danielle Spurs Apt. 968, Blacktown, NSW 2148",Service Complaint,Poor care quality,Low,False,C6783,Complaint received about lack of weekend engagement activities.,Participant offered restorative discussion.,Communication with the participant and guardian improved.,Lack of understanding of participant's needs,Ryan Tanner,Minor cuts,Low,False,False,,,7 days
INC0037,P086,5003933112,1964-04-04,2025-02-17,16:36,2025-02-17,Participant's residence - Bathroom,"3882 Kathryn Creek Suite 185, Campbelltown, NSW 2560",Behavioural Incident,Aggression,Medium,True,C6033,Aggressive yelling and pacing observed following a schedule change.,De-escalation strategies implemented.,Staff team debriefed with clinical support.,Previous incidents not adequately addressed,Diana Fletcher,,,False,False,,,5 business days
INC0038,P088,8037889557,1990-03-20,2025-08-05,09:16,2025-08-05,Participant's residence - Communal area,"3601 Brown Lane, Chatswood, NSW 2067",Service Complaint,Inaccessible services,Low,False,C4107,Guardian raised concern about staff delay in morning care.,Internal investigation process initiated.,Formal response provided to the complainant.,Lack of understanding of participant's needs,Sherry Murphy,,,False,False,,,7 days
INC0039,P091,6768207783,1986-12-12,2024-09-24,22:54,2024-09-24,Participant's residence - Outdoor area,"9281 Lindsey Stravenue Suite 767, Newcastle, NSW 2300",Verbal Abuse / Argument,Threatening language,Low,False,C9875,Argument between staff members occurred in front of participants.,Participants separated and de-escalation techniques used.,Development of communication strategies for participants.,Underlying behavioural issues,Russell Watkins,,,False,False,,,7 days
INC0040,P067,9811945038,1960-09-16,2025-05-07,12:42,2025-05-07,Participant's residence - Dining area,"4981 Brian Glens, Bondi, NSW 2026",Near Miss,Almost tripped,Low,False,C1985,Staff member almost administered medication to the wrong participant.,Learning points shared with the team.,Development of checklists or reminders for high-risk tasks.,Staff distraction or rushing,Andrea Carpenter,,,False,False,,,7 days
INC0041,P043,4543481446,2006-03-26,2024-12-20,08:43,2024-12-20,Participant's residence - Staff office,"210 Derek Lakes Apt. 966, Wollongong, NSW 2500",Financial Misconduct / Error,Billing error,Medium,True,C3230,Participant reported money missing from their room.,Staff involved placed on administrative leave pending investigation.,Incident referred to police and compliance officer.,Participant vulnerability to financial exploitation,Megan Ward,,,False,False,,,5 business days
INC0042,P025,4031379047,1998-06-09,2025-08-07,01:06,2025-08-07,Respite Care Facility,"6943 Courtney Prairie Suite 240, Chatswood, NSW 2067",Self-Harm / Suicide,Threats to self,High,True,C4579,Participant expressed suicidal thoughts during a support conversation.,Internal incident report commenced.,Discussion with family/guardian about ongoing support.,Medication side effects not reviewed,Anthony Harris,Severe head injury,High,True,True,Hospital Visit,,24 hours
INC0043,P040,4181660470,1972-01-12,2025-07-20,22:13,2025-07-20,Participant's residence - Outdoor area,"6651 Brewer Corner, Liverpool, NSW 2170",Verbal Abuse / Argument,Hostile disagreements,Low,False,C1214,Participant shouted and threatened another due to a cancelled outing.,Participants separated and de-escalation techniques used.,Development of communication strategies for participants.,Underlying behavioural issues,Pedro Franklin,Bruising,Low,False,False,,,7 days
INC0044,P037,8894524951,1974-05-16,2024-12-09,02:26,2024-12-09,Participant's residence - Communal area,"14572 Dickson Causeway Apt. 345, Campbelltown, NSW 2560",Sexual Misconduct,Exhibitionism,High,True,C4546,Incident of public masturbation in a common area.,Privacy of participant prioritised and safeguarding officer alerted.,Counselling and support services offered to the participant.,Staff failing to adhere to code of conduct,Mrs. Elizabeth Cisneros DVM,Deep wounds,High,False,False,,,24 hours
INC0045,P042,9430150748,1974-06-19,2025-06-22,13:33,2025-06-22,Day Program Center,"261 James Coves Apt. 976, Sydney, NSW 2000",Environmental Hazard,Fire alarm,Medium,True,C3755,Pathway blocked by fallen debris after a storm.,Area secured and hazard signs installed.,Communication with participants about safety procedures.,Poor lighting in certain areas,Mark Mercer,,,False,False,,,5 business days
INC0046,P053,9502142898,1966-02-26,2025-04-02,14:04,2025-04-02,Supported Independent Living (SIL) Home,"761 Lawrence Junction Apt. 789, Liverpool, NSW 2170",Near Miss,Door not secured,Low,False,C7339,Equipment was found to be faulty before use.,Staff removed hazard and documented situation.,Incident included in weekly safety audit.,Failure to follow existing procedures,Lynn Wallace,Minor cuts,Low,False,False,,,7 days
INC0047,P096,4151234763,1980-02-07,2025-08-07,10:55,2025-08-07,Participant's residence - Staff office,"31626 Lee Plaza, Blacktown, NSW 2148",Self-Harm / Suicide,Suicide attempts,Critical,True,C8301,Participant engaged in headbanging causing injury.,NDIS Commission notified immediately.,Safety audit of participant’s environment completed.,Lack of access to appropriate support,Jessica Lewis,,,False,False,,,24 hours
INC0048,P067,9811945038,1960-09-16,2025-08-09,10:10,2025-08-09,Participant's residence - Bedroom,"930 Nicole Shoals, Penrith, NSW 2750",Near Miss,Almost tripped,Low,False,C6515,"Exit door was found ajar, but participant did not leave.",Policies and procedures related to the near miss reviewed.,Quality improvement process initiated based on near miss data.,Staff distraction or rushing,Melanie Hoffman,,,False,False,,,7 days
INC0049,P090,8640941618,2004-04-03,2025-05-21,12:37,2025-05-21,Office/Administrative Area,"55355 Harper Mount, Liverpool, NSW 2170",Near Miss,Door not secured,Low,False,C1515,Hot tea spilled near participant’s hand but no contact made.,Clinical lead informed and potential error logged.,Regular safety walk-throughs conducted.,Communication errors,Michael Barr,,,False,False,,,7 days
INC0050,P048,2420994284,1973-09-05,2025-04-14,23:37,2025-04-15,Participant's residence - Outdoor area,"9552 Travis Station Apt. 927, Sydney, NSW 2000",Self-Harm / Suicide,Cutting,Critical,True,C5463,Participant expressed suicidal thoughts during a support conversation.,Risk assessment of the situation completed urgently.,Staff training on recognising warning signs of self-harm and suicide risk.,Recent family conflict,Crystal Brooks,Severe head injury,Critical,True,True,GP Consultation,Full recovery,24 hours
INC0051,P070,8210928896,1991-08-24,2025-08-25,08:21,2025-08-25,Participant's residence - Outdoor area,"480 Williams Point Apt. 725, Penrith, NSW 2750",Restrictive Practices (Unauthorised),Physical restraint,High,True,C5056,Participant was forced to take medication they refused.,Review of participant's behaviour support plan initiated urgently.,Debriefing sessions held with staff involved.,Staff unaware of latest practice guidelines,Richard Dean,Severe head injury,High,False,False,,,24 hours
INC0052,P071,6777339499,1989-09-19,2025-02-22,02:59,2025-02-22,Healthcare Facility (Hospital/Clinic),"5903 Hansen Vista Suite 716, Sydney, NSW 2000",Verbal Abuse / Argument,Hostile disagreements,Low,False,C2088,Argument between staff members occurred in front of participants.,Internal incident report commenced.,Policies and procedures on managing verbal aggression reviewed.,Underlying behavioural issues,Robert Mueller,Scrapes,Low,False,False,,,7 days
INC0053,P006,5286448720,1981-08-11,2024-12-11,06:01,2024-12-11,Participant's residence - Staff office,"96649 David Squares Apt. 933, Sydney, NSW 2000",Near Miss,Almost tripped,Low,False,C8199,Wrong medication label caught before administration.,Internal incident report commenced.,Environmental changes made to reduce identified risks.,Medication tray left unattended,Leslie Rodriguez,,,False,False,,,7 days
INC0054,P099,1527838445,1994-12-03,2025-06-14,02:13,2025-06-15,Participant's residence - Outdoor area,"5987 Lewis Squares, Wollongong, NSW 2500",Medical Incident (Non-Injury),Overheating,Medium,True,C9817,Participant experienced difficulty breathing.,Participant's medical plan reviewed immediately.,All staff reminded to review allergy profiles weekly.,Sudden onset of symptoms,Robert Haney,Sprains,Medium,False,False,,,5 business days
INC0055,P057,9601148257,1979-10-05,2025-05-22,05:48,2025-05-23,Day Program Center,"1014 Vickie Street, Campbelltown, NSW 2560",Equipment Failure,Bed rail collapse,Medium,True,C5094,Alarm system failed to activate.,Safety of participant ensured.,Communication with equipment suppliers regarding issues.,Budget constraints impacting equipment replacement,Joseph Watson,,,False,False,,,5 business days
INC0056,P062,2542899423,2006-03-06,2024-09-28,15:33,2024-09-29,Day Program Center,"64173 Billy Courts, Sydney, NSW 2000",Near Miss,Door not secured,Low,False,C1876,Hazardous chemical was left unattended briefly.,Environment made safe.,Development of checklists or reminders for high-risk tasks.,Environmental design flaws,David Nichols,,,False,False,,,7 days
INC0057,P054,1241255145,1979-12-06,2025-04-01,11:54,2025-04-02,Near a park,"0290 Cathy Pike Apt. 679, Penrith, NSW 2750",Transport Incident,Vehicle crash,High,True,C8120,Wheelchair lift on the vehicle malfunctioned.,Staff involved debriefed.,Quality improvement process initiated for transport services.,External traffic conditions,Theresa Donaldson,Concussion,High,False,False,,,24 hours
INC0058,P033,3502444656,1989-03-03,2025-01-17,02:34,2025-01-17,Healthcare Facility (Hospital/Clinic),"206 Friedman Forest, Newcastle, NSW 2300",Equipment Failure,Bed rail collapse,Medium,True,C1155,"Communication device stopped working, impacting participant's ability to communicate needs.",Maintenance team notified immediately.,Maintenance schedule for all equipment reviewed and updated.,Failure to identify early signs of malfunction,Michael Chandler,,,False,False,,,5 business days
INC0059,P022,5422617423,1993-11-07,2025-06-25,14:21,2025-06-25,Participant's residence - Bedroom,"73300 Trevor Squares, Liverpool, NSW 2170",Unethical Staff Behaviour,Falsified logs,High,True,C2843,Staff failed to record multiple absences from activity sessions.,Support offered to affected participants and staff.,Support provided to participants who were impacted.,Violation of professional boundaries,Luke Andrews,Multiple fractures,High,False,False,,,24 hours
INC0060,P028,2163110673,2002-10-18,2025-04-25,08:16,2025-04-26,Participant's residence - Hallway,"31110 Greer Shores Suite 833, Sydney, NSW 2000",Self-Harm / Suicide,Cutting,Critical,True,C1381,Participant engaged in headbanging causing injury.,Internal incident report commenced.,Counselling and therapeutic support provided to the participant.,Medication side effects not reviewed,Candace Moss,,,False,False,,,24 hours
INC0061,P095,6168363312,1994-05-17,2025-07-28,20:59,2025-07-28,Participant's residence - Bedroom,"7062 Carr Spring Apt. 994, Liverpool, NSW 2170",Behavioural Incident,Throwing objects,Medium,True,C4313,Participant scratched staff member during a transfer.,Environment made safe by removing potential hazards.,Staff team debriefed with clinical support.,Inconsistent application of behaviour support plan,Courtney Hayes,,,False,False,,,5 business days
INC0062,P063,8858847610,1977-02-03,2024-10-29,09:26,2024-10-29,Therapy Room,"1745 Williams Estates, Bondi, NSW 2026",Environmental Hazard,Electrical hazard,Medium,True,C8333,Sharp object found on the floor in a common area.,Area secured and hazard signs installed.,Communication with participants about safety procedures.,No signage on wet floor,Sarah Daniel,,,False,False,,,5 business days
INC0063,P079,4257733438,1969-05-18,2024-12-07,04:36,2024-12-08,Participant's residence - Bathroom,"86382 Justin Village Apt. 235, Bondi, NSW 2026",Self-Harm / Suicide,Suicide attempts,Critical,True,C8319,Participant made verbal threats to end their life.,NDIS Commission notified immediately.,Collaboration with mental health professionals and medical team.,Medication side effects not reviewed,Joshua Crane,,,False,False,,,24 hours
INC0064,P029,3200395420,1999-07-28,2024-10-04,23:19,2024-10-04,Day Program Center,"9155 Keith Passage, Newcastle, NSW 2300",Service Complaint,Poor care quality,Low,False,C9880,Feedback received about inadequate communication from staff.,Immediate steps taken to address the specific issue raised.,Review of the participant's support plan.,Inadequate training on specific care needs,Earl Cole,,,False,False,,,7 days
INC0065,P002,3080635547,1994-06-09,2025-02-05,11:34,2025-02-07,Therapy Room,"6566 Alan Corner Suite 249, Bondi, NSW 2026",Death,Unexpected,Critical,True,C3329,Participant passed away unexpectedly at home during the night.,Participant's personal belongings secured.,Support network of participant informed as appropriate.,Unexpected deterioration,Andrew Pacheco,Death,Critical,True,True,First Aid,Ongoing treatment,24 hours
INC0066,P006,5286448720,1981-08-11,2025-03-22,16:21,2025-03-22,Respite Care Facility,"86191 James Causeway, Blacktown, NSW 2148",Abuse or Neglect,Sexual,High,True,C9345,Participant disclosed that another resident had pushed them during a meal.,Internal investigation process initiated.,Police investigation is ongoing.,Lack of clear behaviour support strategies,Amber Norman,Deep wounds,High,True,False,,,24 hours
INC0067,P005,3061624012,2006-11-16,2025-02-06,10:01,2025-02-06,Participant's residence - Outdoor area,"94751 Juan Way Suite 256, Parramatta, NSW 2150",Environmental Hazard,Fire alarm,Medium,True,C1139,"Heating system malfunctioned, causing extreme temperatures.",Safety of participants and staff ensured.,Environmental risk assessment updated.,No signage on wet floor,Angelica Collins,,,False,False,,,5 business days
INC0068,P069,6058646992,1971-08-14,2024-09-09,15:55,2024-09-09,Office/Administrative Area,"8381 Graves Lodge, Chatswood, NSW 2067",Medical Incident (Non-Injury),Sudden illness onset,Medium,True,C2671,Participant experienced mild seizure; was seated and monitored safely.,Internal incident report commenced.,Quality improvement process initiated.,Monitoring equipment malfunction,Abigail Underwood,Lacerations,Medium,True,False,,,5 business days
INC0069,P062,2542899423,2006-03-06,2025-07-17,16:55,2025-07-21,Participant's residence - Communal area,"394 Reed Plains Apt. 468, Sydney, NSW 2000",Death,Unexpected,Critical,True,C3143,"Following a long illness, participant died in hospital.",Notification provided to NDIS Commission.,Documentation completed for all external agencies.,Palliative stage of care,Stephanie Valdez MD,Internal bleeding,Critical,True,True,Hospital Visit,Ongoing treatment,24 hours
INC0070,P076,6605241636,1992-06-06,2024-12-03,18:10,2024-12-03,Participant's residence - Outdoor area,"76482 Pierce Wells, Campbelltown, NSW 2560",Verbal Abuse / Argument,Participant-to-participant or staff,Low,False,C9024,Threatening language used by a visitor towards staff.,Safety of all individuals ensured.,Communication boards introduced in shared spaces.,Underlying behavioural issues,Emily Long MD,,,False,False,,,7 days
INC0071,P039,4001552981,1972-04-13,2024-12-02,01:43,2024-12-02,Participant's residence - Kitchen,"20626 Small Causeway, Penrith, NSW 2750",Self-Harm / Suicide,Suicide attempts,Critical,True,C8836,Participant attempted to harm themselves using a sharp object.,Support provided to the participant.,Formal report submitted to NDIS Commission.,Underlying mental health condition,Laura Brown,,,False,False,,,24 hours
