incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
25,290,291751396,1940-07-26,2024-03-15,07:15,,"104 Queen St, Blacktown NSW 2062",Serious Injury,Burns,Major,Non-Reportable,An incident of type Serious Injury (Burns) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,19,,,True,True,Specialist Consultation,Recovered
26,234,603372312,1981-02-18,2024-03-15,09:18,,"380 Church St, Manly NSW 2589",Abuse or Neglect,Neglect of care,Minor,Non-Reportable,An incident of type Abuse or Neglect (Neglect of care) occurred. A Abuse or Neglect incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,145,,,False,False,,
27,450,431336024,1961-01-02,2024-03-17,02:53,,Care Home 24,Verbal Abuse / Argument,Threatening language,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,19,,,False,False,,
28,479,507434901,1973-07-09,2024-03-17,13:53,,Care Home 7,Transport Incident,Unsafe driver behavior,Minor,Non-Reportable,An incident of type Transport Incident (Unsafe driver behavior) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,18,,,False,False,,
29,190,787859025,1940-05-30,2024-03-18,08:41,,Care Home 12,Behavioural Incident,Biting,Minor,Non-Reportable,An incident of type Behavioural Incident (Biting) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,175,,,False,False,,
30,364,605828857,1969-06-15,2024-03-18,10:09,,Care Home 24,Service Complaint,Delays,Major,Non-Reportable,An incident of type Service Complaint (Delays) occurred. A Service Complaint incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,145,,,True,True,First Aid,Recovered
31,474,770503143,1950-07-13,2024-03-18,10:17,2024-03-19,Care Home 20,Death,Palliative cases,Critical,Reportable,An incident of type Death (Palliative cases) occurred. A participant was found unresponsive and later confirmed deceased. Emergency services were contacted and family representatives were notified. The site followed established procedures and preserved privacy and dignity at all times. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,underlying health complexity; rapid clinical deterioration,134,,,True,True,GP Visit,Fatal
32,612,328312054,1972-05-20,2024-03-18,13:41,,Care Home 17,Behavioural Incident,Throwing objects,Minor,Non-Reportable,An incident of type Behavioural Incident (Throwing objects) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,21,,,False,False,,
33,320,564189374,1953-01-04,2024-03-18,22:11,,Care Home 17,Transport Incident,Unsafe driver behavior,Minor,Non-Reportable,An incident of type Transport Incident (Unsafe driver behavior) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,124,,,False,False,,
34,32,148023653,2008-04-20,2024-03-19,14:06,,Care Home 19,Behavioural Incident,Disruption,Minor,Non-Reportable,An incident of type Behavioural Incident (Disruption) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,94,,,False,False,,
35,217,010457045,2001-02-19,2024-03-20,06:30,,"739 Church St, Blacktown NSW 2395",Medical Incident (Non-Injury),Seizure,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Seizure) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,41,,,False,False,,
36,308,618092712,2018-08-21,2024-03-20,13:18,,"187 Oxford St, Parramatta NSW 2229",Serious Injury,Wounds requiring medical treatment,Major,Non-Reportable,An incident of type Serious Injury (Wounds requiring medical treatment) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,79,,,True,True,GP Visit,Stable
37,527,430820406,1973-08-21,2024-03-21,02:10,2024-03-22,Care Home 4,Environmental Hazard,Flooding,Critical,Reportable,An incident of type Environmental Hazard (Flooding) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,2,,,True,True,First Aid,Recovered
38,51,884372667,1965-03-07,2024-03-21,06:07,,Care Home 15,Behavioural Incident,Disruption,Major,Non-Reportable,An incident of type Behavioural Incident (Disruption) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,130,,,True,True,Specialist Consultation,Recovered
39,419,595122185,1964-08-12,2024-03-21,10:20,,"627 George St, Surry Hills NSW 2596",Unethical Staff Behaviour,Breach of duty of care,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Breach of duty of care) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,71,,,False,False,,
40,339,554551511,2003-01-05,2024-03-21,12:25,,Care Home 17,Environmental Hazard,Unsafe chemicals,Minor,Non-Reportable,An incident of type Environmental Hazard (Unsafe chemicals) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,101,,,False,False,,
41,241,953496355,1987-01-19,2024-03-21,19:31,,Care Home 9,Self-Harm / Suicide,Cutting,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,66,,,True,True,Hospital Visit,Recovered
42,604,839495088,1998-08-30,2024-03-22,18:28,,Care Home 17,Serious Injury,Head injury,Minor,Non-Reportable,An incident of type Serious Injury (Head injury) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,5,,,False,False,,
43,618,855291059,1943-12-22,2024-03-22,22:51,,"788 Pitt St, Blacktown NSW 2673",Financial Misconduct / Error,Theft,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Theft) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,94,,,True,True,First Aid,Recovered
44,631,685885970,1984-10-01,2024-03-23,19:31,,Care Home 14,Environmental Hazard,Flooding,Minor,Non-Reportable,An incident of type Environmental Hazard (Flooding) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,90,,,False,False,,
45,544,340967008,2012-01-09,2024-03-24,05:46,,"814 Railway Pde, Manly NSW 2760",Serious Injury,Wounds requiring medical treatment,Minor,Non-Reportable,An incident of type Serious Injury (Wounds requiring medical treatment) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,170,,,False,False,,
46,457,237333205,2013-05-23,2024-03-24,10:30,,Care Home 13,Behavioural Incident,Biting,Minor,Non-Reportable,An incident of type Behavioural Incident (Biting) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,24,,,False,False,,
47,68,924760857,1977-06-28,2024-03-24,21:05,,Care Home 15,Environmental Hazard,Electrical hazard,Major,Non-Reportable,An incident of type Environmental Hazard (Electrical hazard) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,171,,,True,True,Specialist Consultation,Ongoing Care
48,347,579469931,1990-02-25,2024-03-24,22:04,,"91 Victoria Rd, Manly NSW 2783",Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Minor,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a community setting.",Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
49,213,116313958,1945-02-06,2024-03-24,23:46,,Care Home 20,Financial Misconduct / Error,Unauthorised transactions,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,158,,,False,False,,
50,388,373330470,1960-01-17,2024-03-25,01:32,,"967 Pitt St, Chatswood NSW 2274",Environmental Hazard,Electrical hazard,Minor,Non-Reportable,An incident of type Environmental Hazard (Electrical hazard) occurred. A Environmental Hazard incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,139,,,False,False,,
51,292,267190798,1961-03-09,2024-03-25,03:07,,Care Home 21,Abuse or Neglect,Sexual,Major,Non-Reportable,An incident of type Abuse or Neglect (Sexual) occurred. A Abuse or Neglect incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,179,,,True,True,Hospital Visit,Recovered
52,96,729729162,1991-05-14,2024-03-25,10:47,2024-03-26,Care Home 10,Near Miss,Medication nearly administered incorrectly,Critical,Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,129,,,True,True,GP Visit,Recovered
53,438,986640092,1998-11-09,2024-03-25,23:04,,Care Home 20,Near Miss,Door not secured,Major,Non-Reportable,An incident of type Near Miss (Door not secured) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,98,,,True,True,GP Visit,Stable
54,146,142692898,2006-03-19,2024-03-26,02:38,,Care Home 13,Behavioural Incident,Throwing objects,Minor,Non-Reportable,An incident of type Behavioural Incident (Throwing objects) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,1,,,False,False,,
55,84,546157900,1971-03-10,2024-03-26,04:29,,Care Home 2,Medical Incident (Non-Injury),Allergic reaction,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Allergic reaction) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
56,264,360955464,1975-11-25,2024-03-26,23:26,,Care Home 19,Abuse or Neglect,Physical,Minor,Non-Reportable,An incident of type Abuse or Neglect (Physical) occurred. A Abuse or Neglect incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,1,,,False,False,,
57,489,111810534,1966-07-08,2024-03-27,00:40,,Care Home 18,Medical Incident (Non-Injury),Overheating,Major,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Overheating) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,4,,,True,True,Specialist Consultation,Recovered
58,591,644472122,1988-09-03,2024-03-27,22:07,2024-03-28,Care Home 21,Abuse or Neglect,Neglect of care,Critical,Reportable,An incident of type Abuse or Neglect (Neglect of care) occurred. A Abuse or Neglect incident occurred. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,168,,,True,True,Hospital Visit,Stable
59,340,959597707,1988-12-04,2024-03-29,12:46,,Care Home 16,Sexual Misconduct,Harassment,Minor,Non-Reportable,An incident of type Sexual Misconduct (Harassment) occurred. A Sexual Misconduct incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,62,,,False,False,,
60,136,218427152,2007-09-08,2024-03-29,13:03,,Care Home 1,Serious Injury,Fractures,Minor,Non-Reportable,An incident of type Serious Injury (Fractures) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,17,,,False,False,,
61,439,787617643,1975-05-12,2024-03-29,16:38,,"400 Pitt St, Surry Hills NSW 2462",Financial Misconduct / Error,Billing error,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Billing error) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,64,,,False,False,,
62,123,151950724,2010-07-08,2024-03-30,08:51,,"365 King St, Manly NSW 2289",Equipment Failure,Bed rail collapse,Minor,Non-Reportable,An incident of type Equipment Failure (Bed rail collapse) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,66,,,False,False,,
63,421,159615847,2003-10-12,2024-03-30,15:38,,Care Home 20,Assault (Unlawful Contact),Sexual assault,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Sexual assault) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
64,421,159615847,2003-10-12,2024-03-30,17:04,,Care Home 20,Assault (Unlawful Contact),Sexual assault,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Sexual assault) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,71,,,False,False,,
65,332,708593327,1997-02-25,2024-03-31,00:11,,Care Home 22,Infectious Disease Exposure,Exposure due to isolation breach,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Exposure due to isolation breach) occurred. A Infectious Disease Exposure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,114,,,False,False,,
66,430,889092839,1977-02-25,2024-03-31,11:01,,Care Home 18,Restrictive Practices (Unauthorised),Environmental restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Environmental restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,149,,,False,False,,
67,236,529972267,1968-02-04,2024-04-01,05:28,,Care Home 1,Self-Harm / Suicide,Cutting,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,168,,,False,False,,
68,502,427440711,1989-02-11,2024-04-01,10:33,,Care Home 7,Unethical Staff Behaviour,Breach of duty of care,Major,Non-Reportable,An incident of type Unethical Staff Behaviour (Breach of duty of care) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,101,,,True,True,GP Visit,Recovered
69,181,426786051,2014-03-14,2024-04-02,02:47,,Care Home 24,Assault (Unlawful Contact),Sexual assault,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Sexual assault) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,172,,,False,False,,
70,34,492711663,1948-03-12,2024-04-02,11:23,,Care Home 1,Behavioural Incident,Disruption,Minor,Non-Reportable,An incident of type Behavioural Incident (Disruption) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,33,,,False,False,,
